"Ozone","Solar.R","Wind","Temp","Month","Day","Celsius"
41,190,7.4,67,5,1,19
36,118,8,72,5,2,22
12,149,12.6,74,5,3,23
18,313,11.5,62,5,4,17
NA,NA,14.3,56,5,5,13
28,NA,14.9,66,5,6,19
23,299,8.6,65,5,7,18
19,99,13.8,59,5,8,15
8,19,20.1,61,5,9,16
NA,194,8.6,69,5,10,21
7,NA,6.9,74,5,11,23
16,256,9.7,69,5,12,21
11,290,9.2,66,5,13,19
14,274,10.9,68,5,14,20
18,65,13.2,58,5,15,14
14,334,11.5,64,5,16,18
34,307,12,66,5,17,19
6,78,18.4,57,5,18,14
30,322,11.5,68,5,19,20
11,44,9.7,62,5,20,17
1,8,9.7,59,5,21,15
11,320,16.6,73,5,22,23
4,25,9.7,61,5,23,16
32,92,12,61,5,24,16
NA,66,16.6,57,5,25,14
NA,266,14.9,58,5,26,14
NA,NA,8,57,5,27,14
23,13,12,67,5,28,19
45,252,14.9,81,5,29,27
115,223,5.7,79,5,30,26
37,279,7.4,76,5,31,24
NA,286,8.6,78,6,1,26
NA,287,9.7,74,6,2,23
NA,242,16.1,67,6,3,19
NA,186,9.2,84,6,4,29
NA,220,8.6,85,6,5,29
NA,264,14.3,79,6,6,26
29,127,9.7,82,6,7,28
NA,273,6.9,87,6,8,31
71,291,13.8,90,6,9,32
39,323,11.5,87,6,10,31
NA,259,10.9,93,6,11,34
NA,250,9.2,92,6,12,33
23,148,8,82,6,13,28
NA,332,13.8,80,6,14,27
NA,322,11.5,79,6,15,26
21,191,14.9,77,6,16,25
37,284,20.7,72,6,17,22
20,37,9.2,65,6,18,18
12,120,11.5,73,6,19,23
13,137,10.3,76,6,20,24
NA,150,6.3,77,6,21,25
NA,59,1.7,76,6,22,24
NA,91,4.6,76,6,23,24
NA,250,6.3,76,6,24,24
NA,135,8,75,6,25,24
NA,127,8,78,6,26,26
NA,47,10.3,73,6,27,23
NA,98,11.5,80,6,28,27
NA,31,14.9,77,6,29,25
NA,138,8,83,6,30,28
135,269,4.1,84,7,1,29
49,248,9.2,85,7,2,29
32,236,9.2,81,7,3,27
NA,101,10.9,84,7,4,29
64,175,4.6,83,7,5,28
40,314,10.9,83,7,6,28
77,276,5.1,88,7,7,31
97,267,6.3,92,7,8,33
97,272,5.7,92,7,9,33
85,175,7.4,89,7,10,32
NA,139,8.6,82,7,11,28
10,264,14.3,73,7,12,23
27,175,14.9,81,7,13,27
NA,291,14.9,91,7,14,33
7,48,14.3,80,7,15,27
48,260,6.9,81,7,16,27
35,274,10.3,82,7,17,28
61,285,6.3,84,7,18,29
79,187,5.1,87,7,19,31
63,220,11.5,85,7,20,29
16,7,6.9,74,7,21,23
NA,258,9.7,81,7,22,27
NA,295,11.5,82,7,23,28
80,294,8.6,86,7,24,30
108,223,8,85,7,25,29
20,81,8.6,82,7,26,28
52,82,12,86,7,27,30
82,213,7.4,88,7,28,31
50,275,7.4,86,7,29,30
64,253,7.4,83,7,30,28
59,254,9.2,81,7,31,27
39,83,6.9,81,8,1,27
9,24,13.8,81,8,2,27
16,77,7.4,82,8,3,28
78,NA,6.9,86,8,4,30
35,NA,7.4,85,8,5,29
66,NA,4.6,87,8,6,31
122,255,4,89,8,7,32
89,229,10.3,90,8,8,32
110,207,8,90,8,9,32
NA,222,8.6,92,8,10,33
NA,137,11.5,86,8,11,30
44,192,11.5,86,8,12,30
28,273,11.5,82,8,13,28
65,157,9.7,80,8,14,27
NA,64,11.5,79,8,15,26
22,71,10.3,77,8,16,25
59,51,6.3,79,8,17,26
23,115,7.4,76,8,18,24
31,244,10.9,78,8,19,26
44,190,10.3,78,8,20,26
21,259,15.5,77,8,21,25
9,36,14.3,72,8,22,22
NA,255,12.6,75,8,23,24
45,212,9.7,79,8,24,26
168,238,3.4,81,8,25,27
73,215,8,86,8,26,30
NA,153,5.7,88,8,27,31
76,203,9.7,97,8,28,36
118,225,2.3,94,8,29,34
84,237,6.3,96,8,30,36
85,188,6.3,94,8,31,34
96,167,6.9,91,9,1,33
78,197,5.1,92,9,2,33
73,183,2.8,93,9,3,34
91,189,4.6,93,9,4,34
47,95,7.4,87,9,5,31
32,92,15.5,84,9,6,29
20,252,10.9,80,9,7,27
23,220,10.3,78,9,8,26
21,230,10.9,75,9,9,24
24,259,9.7,73,9,10,23
44,236,14.9,81,9,11,27
21,259,15.5,76,9,12,24
28,238,6.3,77,9,13,25
9,24,10.9,71,9,14,22
13,112,11.5,71,9,15,22
46,237,6.9,78,9,16,26
18,224,13.8,67,9,17,19
13,27,10.3,76,9,18,24
24,238,10.3,68,9,19,20
16,201,8,82,9,20,28
13,238,12.6,64,9,21,18
23,14,9.2,71,9,22,22
36,139,10.3,81,9,23,27
7,49,10.3,69,9,24,21
14,20,16.6,63,9,25,17
30,193,6.9,70,9,26,21
NA,145,13.2,77,9,27,25
14,191,14.3,75,9,28,24
18,131,8,76,9,29,24
20,223,11.5,68,9,30,20
